ctag	ch	ch_female
MSGSOCIALMEDIUM_SCOUT_FIND_MULTIPLE	简短列表¦我已经确定了一些您可能感兴趣的球员，并将其添加到“侦察”名单中，老板：$players	简短列表¦我已经确定了一些您可能感兴趣的球员，并将其添加到“侦察”名单中，老板：$players
MSGSOCIALMEDIUM_YOUTHCOACH_GRADUATE	青年发展¦$playername毕业于该学院，目前可供一队选拔.。	青年发展¦$playername毕业于该学院，目前可供一队选拔.。
MSGSOCIALMEDIUM_STAFF_CARDQUALITYLIMITED	教练¦老板，我花了一些时间来生产优质质量的$cardtype卡.我们需要升级$facility以减少冷却时间.	教练¦老板，我花了一些时间来生产优质质量的$cardtype卡.我们需要升级$facility以减少冷却时间.
MSGSOCIALMEDIUM_STAFF_PLAYERQUALITYLIMITED	教练¦老板，我花了一些时间才能培养出高质量的优质球员.我们需要升级$设施以减少冷却时间.	教练，老板，我花了一些时间才能培养出高质量的优质球员.我们需要升级$设施以减少冷却时间.
MSGSOCIALMEDIUM_STAFF_CARDQUALITYLIMITEDBYSELF	教练¦老板，除非您提高我的星级，否则我无法生产$quality质量的$cardtype卡.	教练¦老板，除非您提高我的星级，否则我无法生产$quality质量的$cardtype卡.
MSGSOCIALMEDIUM_STAFF_PLAYERQUALITYLIMITEDBYSELF	教练¦老板，除非您提高我的星级，否则我无法培养出高质量的优质球员.	教练¦老板，除非您提高我的星级，否则我无法培养出高质量的优质球员.
MSGSOCIALMEDIUM_PHYSIO_CARDQUALITYLIMITED	治疗¦老板，TREATMENT卡的最大治疗效果受到限制.我们需要升级$facility .	治疗¦ 老板，治疗卡卡的最大治疗效果受到限制.我们需要升级$facility .
MSGSOCIALMEDIUM_PHYSIO_CARDQUALITYLIMITEDBYSELF	治疗¦老板，如果您提高我的星级，我会生产治疗效果更好的TREATMENT卡.	治疗¦老板，如果您提高我的星级，我会生产治疗效果更好的治疗卡.
music_0	没有	没有
music_1	流行音乐	流行音乐
music_10	古典	古典
music_11	国家	国家
music_12	舞蹈	舞蹈
music_13	Techno	Techno
music_14	放克	放克
music_15	周围	周围
music_16	重金属	重金属
music_17	鼓和贝司	鼓和贝司
music_18	独立摇滚	独立摇滚
music_2	岩石	岩石
music_3	嘻哈（音乐	嘻哈（音乐
music_4	说唱	说唱
music_5	民间	民间
music_6	蓝调	蓝调
music_7	爵士乐	爵士乐
music_8	雷鬼	雷鬼
music_9	朋克摇滚	朋克摇滚
music_Favourite	最喜欢的音乐	最喜欢的音乐
My Stats	我的统计	我的统计
Name	名称	名称
Nation	国家	国家
National Team	国家队	国家队
Nationality	国籍	国籍
Nations	国家	国家
navigate_Back	背部	背部
navigate_Cancel	取消	取消
		
navigate_Confirm	确认	确认
navigate_Continue	继续	继续
navigate_Home	家	家
navigate_Select	选择	选择
navigate_View	视图	视图
navigate_ViewSquad	查看小队	查看小队
Negotiate	谈判	谈判
Negotiate Contract	谈判合同	谈判合同
negotiate_Agreed	同意	同意
negotiate_Higher	更高	更高
negotiate_Lower	降低	降低
Negotiate!	谈判!	谈判!
New Career	新职业	新职业
News	新闻	新闻
Next	下一个	下一个
Next Achievement	下一个成就	下一个成就
None	[XXX]None	[XXX]None
North	北	北
Not Picked	[XXX]Not Picked	[XXX]Not Picked
NRG	NRG	NRG
Offside	越位	越位
Opponent	对手	对手
Options	选件	选件
or	要么	要么
Pace	步伐	步伐
Pass	通过	通过
Passes	通行证	通行证
Passes per Game	每局传球数	每局传球数
Passing	通过	通过
person_Profile	轮廓	轮廓
Personality	个性	个性
		
personality_Dislikes	不喜欢	不喜欢
Person Happiness	人的幸福	人的幸福
pet_1	狗	狗
pet_10	栗鼠	栗鼠
pet_11	雪貂	雪貂
pet_12	仓鼠	仓鼠
pet_13	鼠	鼠
pet_14	鹦鹉	鹦鹉
pet_15	小形鹦鹉	小形鹦鹉
pet_16	虎皮鹦鹉	虎皮鹦鹉
pet_17	金丝雀	金丝雀
pet_18	鸡	鸡
pet_19	山羊	山羊
pet_2	猫	猫
pet_20	蛇	蛇
pet_21	蜥蜴	蜥蜴
pet_22	龟	龟
pet_23	鬣蜥	鬣蜥
pet_24	水龟	水龟
pet_25	猪	猪
pet_26	骆驼	骆驼
pet_27	刺猬	刺猬
pet_28	鸭	鸭
pet_3	鱼	鱼
pet_4	壁虎	壁虎
pet_5	兔子	兔子
pet_6	豚鼠	豚鼠
pet_7	仓鼠	仓鼠
pet_8	鼠	鼠
pet_9	沙鼠	沙鼠
PhysioBoost	减少伤害的影响	减少伤害的影响
Play	玩	玩
Play Now	现在播放	现在播放
Player	播放器	播放器
Player Meeting	球员会议	球员会议
Player Name	选手姓名	选手姓名
Player Profile	球员资料	球员资料
Player Transfer	球员转会	球员转会
Player Happiness	球员幸福	球员幸福
player_Swap	[XXX]Swap	[XXX]Swap
player_Train	[XXX]Train	[XXX]Train
pme_Assistant	助理	助理
pme_Dilemma	困境	困境
pme_EndSeason	结束季节	结束季节
pme_Interview	面试	面试
pme_Match	比赛	比赛
pme_News	新闻	新闻
pme_Offer	提供	提供
pme_Incident	事件	事件
pme_Tip	小费	小费
pme_Sponsor	赞助	赞助
pos_AttackingMidfielder	前腰	前腰
pos_Defender	后卫	后卫
pos_DefensiveMidfielder	防守型中场	防守型中场
pos_Forward	向前	向前
pos_Goalkeeper	守门员	守门员
pos_Midfielder	中场	中场
Position	位置	位置
position_1	一分钱	一分钱
position_10	第十名	第十名
position_11	11日	11日
position_12	第十二	第十二
position_13	13秒	13秒
position_14	14日	14日
position_15	15日	15日
position_16	16号	16号
position_17	17日	17日
position_18	18日	18日
position_19	19日	19日
position_2	第二名	第二名
position_20	20日	20日
position_21	21日	21日
position_22	第22	第22
position_23	显示	显示
position_24	24日	24日
position_25	接过	接过
position_26	26日	26日
position_27	27日	27日
position_28	28日	28日
position_29	他的故事	他的故事
position_3	显示	显示
position_30	30日	30日
position_31	31日	31日
position_32	固执	固执
position_4	第四名	第四名
position_5	第五名	第五名
position_6	第六名	第六名
position_7	偶数	偶数
position_8	第八名	第八名
position_9	一只猫	一只猫
position_Finished	已完成	已完成
position_Promoted	晋升	晋升
position_Qualified	合格	合格
position_Relegated	降级	降级
Positioning	定位	定位
		
Power	[XXX]Power	[XXX]Power
Pre-Match	赛前	赛前
Press Conference	新闻发布会	新闻发布会
press_Media	媒体	媒体
pressConferenceReward	新闻发布会奖励	新闻发布会奖励
pressConferenceRewards	新闻发布会奖励	新闻发布会奖励
PRESSQUESTION_BOARD_FORM1	董事会必须担心最近的结果.您如何告诉他们?;相信我/<press+><squad->;相信这个小队/<squad+><press->;投资!/<board-><press+>	董事会必须担心最近的结果.您如何告诉他们?;相信我/<press+><squad->;相信这个小队/<squad+><press->;邀请!/<board-><press+>
PRESSQUESTION_BOARD_FORM2	董事会必须关注您当前的表格.您对他们说的话?;相信我/<press+><squad->;相信这个小队/<squad+><press->;投资!/<board-><press+>	董事会必须关注您当前的表格.您对他们说的话?;相信我/<press+><squad->;相信这个小队/<squad+><press->;邀请!/<board-><press+>
PRESSQUESTION_FAN_APATHY1	一些球迷对俱乐部失去信心.你会对他们说些什么?;相信我/<press+><squad->;支持球队/<press-><squad+>; 相信董事会/<press-><board+>	一些球迷对俱乐部失去信心.你会对他们说些什么?;相信我/<press+><squad->;相信这个小队/<press-><squad+>;邀请!/<press-><board+>
PRESSQUESTION_FAN_APATHY2	您会对那些认为俱乐部迷路的球迷说些什么?;相信我/<press+><squad->;支持球队/<press-><squad+>; 相信董事会/<press-><board+>	您会对那些认为俱乐部迷路的球迷说些什么?;相信我/<press+><squad->;相信这个小队/<press-><squad+>;邀请!/<press-><board+>
PRESSQUESTION_FAN_DISLIKE1	在上一场比赛中，有些球迷大喊大叫.您对此有何看法？;接受批评/<press-><fans+>;批评球迷/<press+><fans->;没有评论/<press->	在上一场比赛中，有些球迷大喊大叫.;您对此有何看法?;接受批评/<press-><fans+>;批评粉丝/<press+><fans->;不做评价/<press->
PRESSQUESTION_FAN_DISLIKE2	可以说您的粉丝最近对您不满意.您对此有何看法?接受批评/<press-><fans+>;批评粉丝/<press+><fans->;没有言论/<press->	可以公平地说，您的粉丝最近对您不满意.您对此有何看法?;接受批评/<press-><fans+>;批评粉丝/<press+><fans->;不做评价/<press->
PRESSQUESTION_LEAGUE_POSITION1	您为谁的令人担忧的联赛排名而怪谁？;我自己/<press-><squad+>;球队/<squad-><press+>;经费/<board-><press+>;没有言论/<fans-><press->	您为谁的令人担忧的联赛排名而怪谁?;我自己/<press-><squad+>;球队/<squad-><press+>;资金/<board-><press+>;不做评价/<fans-><press->
PRESSQUESTION_LEAGUE_POSITION2	排行榜的阅读情况不佳.，您为当前的困境指责谁？;我自己<press-><squad+>;球队/<squad-><press+>;经费/<board-><press+>;无可奉告/<fans-><press->	排行榜的情况不佳.您为当前的困境指责谁?;我自己/<press-><squad+>;球队/<squad-><press+>;资金/<board-><press+>;不做评价/<fans-><press->
PRESSQUESTION_PLAYER_CHEMISTRY1	确实$playername和$playername2相处不友好?;是/<press+><board-><sponsors->;否/<squad-><press->;无可奉告/<fans-><press->	那个是真的吗$playername 和 $playername2 不要分开?;好的/<press+><board-><sponsors->;不行/<squad-><press->;不做评价/<fans-><press->
PRESSQUESTION_PLAYER_CHEMISTRY2	有传言说$playername和$playername2彼此不喜欢.是真的吗?;是/<press+><board-><sponsors->;不/<squad-><press->;无可奉告/<fans-><press->	有传言说$playername和$playername2彼此不喜欢.是真的吗?;好的/<press+><board-><sponsors->;不行/<squad-><press->;不做评价/<fans-><press->
PRESSQUESTION_PLAYER_CONTRACTLOW1	$playername的合同即将用尽.您是否打算让他离开？;是/<press+><person->;否/<person+><press->;无可奉告/<fans-><press->	$playername的合同即将用尽.您是否打算让他离开?;是/<press+><person->;否/<person+><press->;不做评价/<fans-><press->
PRESSQUESTION_PLAYER_CONTRACTLOW2	您似乎在让$playername的合同到期.是否要他离开俱乐部?;是/<press+><person->;否/<person+><press->;无可奉告/<fans-><press->	您似乎在让$playername的合同到期.是否要他离开俱乐部?;是/<press+><person->;否/<person+><press->;不做评价/<fans-><press->
PRESSQUESTION_PLAYER_FORMPOOR1	$playername最近表现不佳.您是否为此承担一些责任?;是/<press-><person+>;否/<person-><press+>;无可奉告/<fans-><press->	$playername最近表现不佳.您是否为此承担一些责任?;是/<press-><person+>;否/<person-><press+>;不做评价/<fans-><press->
PRESSQUESTION_PLAYER_FORMPOOR2	显然$playername的季节不好.您是否为此承担一些责任?;是/<press-><person+>;否/<person-><press+>;无可奉告/<fans-><press->	显然$playername的结果不好.您是否为此承担一些责任?;是/<press-><person+>;否/<person-><press+>;不做评价/<fans-><press->
PRESSQUESTION_PLAYER_WANTSTOLEAVE1	$playername是否想离开俱乐部是真的吗？;是/<press+><board-><sponsors->;否/<person-><press->;无可奉告/<fans-><press->	$playername是否想离开俱乐部是真的吗?;是/<press+><board-><sponsors->;否/<person-><press->;不做评价/<fans-><press->
PRESSQUESTION_PLAYER_WANTSTOLEAVE2	公平地说$playername迫切希望离开俱乐部?;是/<press+><board-><sponsors->;否/<person+><press->;无可奉告/<fans-><press->	公平地说$playername迫切希望离开俱乐部?;好的/<press+><board-><sponsors->;不行/<squad-><press->;不做评价/<fans-><press->
PRESSQUESTION_SPONSORS_FORM1	您的赞助商对您最近的表格不太满意.您如何告诉他们?;相信我/<press+><squad->;相信这个团队/<squad+><press->;相信董事会/<board+><press->	您的赞助商对您最近的表格不太满意.您如何告诉他们?;相信我/<press+><squad->;相信小队/<squad+><press->;对董事会有信心/<board+><press->
PRESSQUESTION_SPONSORS_FORM2	您的赞助商必须担心您目前的状态.您对他们的看法?;相信我/<press+><squad->;相信这个团队/<squad+><press->;相信董事会/<board+><press->	您的赞助商必须担心您目前的状态.您对他们的看法?;相信我/<press+><squad->;相信小队/<squad+><press->;对董事会有信心/<board+><press->
PRESSQUESTION_SPONSORS_RELATIONSHIP1	您的赞助商目前对您不太满意.您告诉他们什么?;相信我/<press+><squad->;相信这个团队/<squad+><press->;相信董事会/<board+><press->	您的赞助商目前对您不太满意.您告诉他们什么?;相信我/<press+><squad->;相信小队/<squad+><press->;对董事会有信心/<board+><press->
PRESSQUESTION_SPONSORS_RELATIONSHIP2	您的董事会目前对您与赞助商的关系不太满意.您如何告诉他们?;相信我/<press+><squad->;相信这个团队/<squad+><press->;投资!/<board-><press+>	您的董事会目前对您与赞助商的关系不太满意.您如何告诉他们?;相信我/<press+><squad->;相信小队/<squad+><press->;对董事会有信心/<board-><press+>
PRESSQUESTION_SPONSORS_RELATIONSHIP3	有传言说与赞助商的关系紧张吗？;是/<press+><board->;否/<board+><press->;无可奉告/<sponsors+><press->	有传言说与赞助商的关系紧张吗?;是/<press+><board->;否/<board+><press->;不做评价/<sponsors+><press->
PRESSQUESTION_SPONSORS_RELATIONSHIP4	您是否会说与赞助商的关系很困难?;是/<press+>;否/<press->;没有言论/<board+><press->	您是否会说与赞助商的关系很困难?;是/<press+>;否/<press->; 不做评价/<board+><press->
PRESSQUESTION_SQUAD_MORALE1	很明显，俱乐部目前有很多不开心的球员.您是否为此负责？;是/<press-><squad+>;否/<squad-><press+>;无可奉告/<fans-><press->	很明显，俱乐部目前有很多不开心的球员.您是否为此负责?;是/<press-><squad+>;否/<squad-><press+>;不做评价/<fans-><press->
PRESSQUESTION_SQUAD_MORALE2	您显然在球队中有很多不高兴的球员.您是否为此承担责任?;是/<press-><squad+>;否/<squad-><press+>;无可奉告/<fans-><press->	您显然在球队中有很多不高兴的球员.您是否为此承担责任?;是/<press-><squad+>;否/<squad-><press+>;不做评价/<fans-><press->
PRESSQUESTION_STAFF_CONTRACTLOW1	$playername的合同即将用尽.您是否打算让您的$staffrole离开?;是/<press+><person->;否/<person+><press->;无可奉告/<fans-><press->	$playername的合同即将用尽.您是否打算让您的$staffrole离开?;是/<press+><person->;否/<person+><press->;不做评价/<fans-><press->
PRESSQUESTION_STAFF_CONTRACTLOW2	您似乎在让$playername的合同到期.您是否要将$staffrole退出俱乐部?;是/<press+><person->;否/<person+><press->;无可奉告/<fans-><press->	您似乎在让$playername的合同到期.您是否要将$staffrole退出俱乐部?;是/<press+><person->;否/<person+><press->;不做评价/<fans-><press->
PRESSQUESTION_STAFF_CONTRACTS1	您的员工是否担心合同是否属实？;是,这是一个公平的评论/<staff+>;不，这不是一个公平的评论/<staff-><press+>;无可奉告/<staff-><press->	您的员工是否担心合同是否属实?;对，这是一个公正的评价/<staff+>;不，那不是真的/<staff-><press+>;不做评价/<staff-><press->
PRESSQUESTION_STAFF_CONTRACTS2	显然，许多员工担心他们的合同.是真的?;是/<staff+>;否/<staff-><press+>;无可奉告/<staff-><press->	显然，许多员工担心他们的合同.是真的?;对，这是一个公正的评价/<staff+>;不，那不是真的/<staff-><press+>;不做评价/<staff-><press->
PRESSQUESTION_STAFF_DEVELOPMENT1	确实，您的员工没有很多机会发展自己的能力?;这是一个公平的评论/<staff+>;不，这不是/<staff-><press+>;无可奉告/<staff-><press->	确实，您的员工没有很多机会发展自己的能力?;对，这是一个公正的评价/<staff+>;不，那不是真的/<staff-><press+>;不做评价/<staff-><press->
PRESSQUESTION_STAFF_DEVELOPMENT2	显然，这里的员工对自己的发展不满意.是真的?;这是一个公平的评论/<staff+>;不，这不是/<staff-><press+>;无可奉告/<staff-><press->	显然，这里的员工对自己的发展不满意.是真的?;对，这是一个公正的评价/<staff+>;不，那不是真的/<staff-><press+>;不做评价/<staff-><press->
PRESSQUESTION_STAFF_MANAGEMENT1	有传言说您的员工担心您的管理.是真的?;这是不是一个公平的评论/<staff+>;不，这不是/<staff-><press+>;无可奉告/<staff-><press->	有传言说您的员工担心您的管理.是真的?;对，这是一个公正的评价/<staff+>;不，那不是真的/<staff-><press+>;不做评价/<staff-><press->
PRESSQUESTION_STAFF_MANAGEMENT2	显然这里的工作人员对您的管理不满意.是真的?;这是不是一个公平的评论/<staff+>;不，这不是/<staff-><press+>;无可奉告/<staff-><press->	显然这里的工作人员对您的管理不满意.是真的?;对，这是一个公正的评价/<staff+>;不，那不是真的/<staff-><press+>;不做评价/<staff-><press->
Price	价钱	价钱
prices_Extreme	极端	极端
prices_Fair	公平	公平
prices_High	高	高
prices_Low	低	低
prices_VeryHigh	很高	很高
prices_VeryLow	非常低	非常低
profile_concern_contract_concerned	热衷于讨论合同.	热衷于讨论合同.
profile_concern_contract_runningdown	拖欠合同.	拖欠合同.
profile_concern_contract_serious	认真关注合同.	认真关注合同.
profile_concern_contract_slight	想要延长合同.	想要延长合同.
profile_concern_contract_transfer	想要离开俱乐部.	想要离开俱乐部.
profile_concern_contract_troubled	渴望讨论合同.	渴望讨论合同.
profile_concern_dev_concerned	关注他的成长.	关注他的成长.
profile_concern_dev_serious	教练人员感到失望.	教练人员感到失望.
profile_concern_dev_slight	想要发展他的技能.	想要发展他的技能.
profile_concern_dev_troubled	渴望发展自己的技能.	渴望发展自己的技能.
profile_concern_form_concerned	关注团队形式.	关注团队形式.
profile_concern_form_serious	严重担心团队形式.	严重担心团队形式.
profile_concern_form_slight	对最近的结果略有关注.	对最近的结果略有关注.
profile_concern_form_troubled	渴望改善结果.	渴望改善结果.
profile_concern_management_concerned	热衷于保留起点.	热衷于保留起点.
profile_concern_management_general	您的管理层关注的问题.	您的管理层关注的问题.
profile_concern_management_serious	希望移动俱乐部.	希望移动俱乐部.
profile_concern_management_slight	想玩.	想玩.
profile_concern_management_troubled	拼命比赛.	拼命比赛.
profile_concernConcerned	关心	关心
profile_Concerns	顾虑	顾虑
profile_concernSerious	严重	严重
profile_concernSlight	轻微	轻微
profile_concernsNone	--	--
profile_concernTroubled	陷入困境	陷入困境
profile_Dislikes	不喜欢	不喜欢
profile_dislikesNoOne	没有人	没有人
profile_formation	已收藏|组建	已收藏|组建
profile_LeadershipQualities	领导才能	领导才能
profile_managerofmonth	经理|每月	经理|每月
profile_managerofyear	经理|年度	经理|年度
profile_Personality	个性	个性
profile_seasonsplayed	季节|打过	季节|打过
profile_Trait	特征	特征
profile_TransferOffer_BoardSell	董事会认为我们应该出售.	董事会认为我们应该出售.
profile_TransferOffer_FanFave	该播放器在粉丝中很受欢迎.	该播放器在粉丝中很受欢迎.
profile_TransferOffer_PlayerKeen	球员渴望移动.	球员渴望移动.
profile_TransferOffer_PlayerPopular	球员在小队中很受欢迎.	球员在小队中很受欢迎.
profile_TransferOffer_PlayerUnpopular	球员在球队中不受欢迎.	球员在球队中不受欢迎.
profile_transferrequested	传递	传递
profile_trophieswon	奖杯|获胜	奖杯|获胜
profile_TroubleMaker	麻烦制造者	麻烦制造者
profile_UnhappyInjured	受伤使他沮丧	受伤使他沮丧
Progress	进展	进展
PUSH_NOTIFICATIONS	通知事项	通知事项
PUSH_NOTIFICATIONS_DESC	嘿老板!为什么当. . . |-不能获得通知时，-您的每日奖励可用|-物品正在销售中-该游戏有更新	嘿老板!为什么当. . . |-不能获得通知时，-您的每日奖励可用|-物品正在销售中-该游戏有更新
PUSH_NOTIFICATIONS_YES	立即启用!	立即启用!
PUSH_NOTIFICATIONS_NO	也许以后	也许以后
qualities_Average	[XXX]Average	[XXX]Average
qualities_Excellent	[XXX]Excellent	[XXX]Excellent
qualities_Good	[XXX]Good	[XXX]Good
qualities_None	[XXX]None	[XXX]None
qualities_Poor	较差的	较差的
quality_Black	黑色	黑色
quality_Bronze	青铜	青铜
quality_Gold	金	金
quality_Grey	灰色	灰色
quality_Silver	银	银
Rating	评分	评分
rating_Form	阵型	阵型
RATE_THE_APP	为此游戏评分	为此游戏评分
RATE_THE_APP_DESC	嗨，老板，我们希望您能找到很多有趣的游戏.，但是我们需要您的鼓励!为什么不花一分钟的时间来评价游戏?	嗨，老板，我们希望您能找到很多有趣的游戏.，但是我们需要您的鼓励!为什么不花一分钟的时间来评价游戏?
RATE_THE_APP_YES	趣味游戏.评价!	趣味游戏.评价!
RATE_THE_APP_NO	需要改进	需要改进
Raw	生的	生的
Recording_Success	录制成功	录制成功
Recoridng_Failed	记录失败	记录失败
recovery_Normal	正常	正常
Red Cards	红牌	红牌
Reject	拒绝	拒绝
Relationships	人际关系	人际关系
Relationship Boost	关系提升	关系提升
relationship_1	粉丝们	粉丝们
relationship_2	板	板
relationship_3	赞助商	赞助商
relationship_4	按	按
relationship_DeeplyConcerned	深切关注	深切关注
relationship_ExtremelyGood	特别棒	特别棒
relationship_ExtremelyHappy	非常高兴	非常高兴
relationship_ExtremelySatisfied	非常满意	非常满意
relationship_Good	好	好
relationship_Happy	快乐	快乐
relationship_Poor	较差的	较差的
relationship_Satisfied	满意	满意
relationship_Unhappy	不开心	不开心
relationship_Unsatisfied	不满意	不满意
relationship_VeryGood	很好	很好
relationship_VeryHappy	很高兴	很高兴
relationship_VeryPoor	很差	很差
relationship_VerySatisfied	很满意	很满意
relationship_VeryUnhappy	非常不开心	非常不开心
relationship_Curious	好奇	好奇
relationship_Impressed	印象深刻	印象深刻
relationship_Unimpressed	印象深刻	印象深刻
relationship_Uninterested	没兴趣	没兴趣
relationship_Obsessed	痴迷	痴迷
Rename_Rename_Your_Club_&_Stadium	重命名您的俱乐部&体育场	重命名您的俱乐部&体育场
Renew Contract	续签合同	续签合同
Replay	重播	重播
Replay_ComingSoon	立即下载“新星经理” !	立即下载“新星经理” !
Replay_Empty	无重播	无重播
Replay_Save	保存重播	保存重播
Replays	重播	重播
Reset	重启	重启
Rest Days	休息日	休息日
Restore	恢复	恢复
Result	结果	结果
Results	结果	结果
Retire	退役	退役
Retired	退休的	退休的
Retirement	退休	退休
Retiring	退役	退役
Revenue	收入	收入
Reward	奖励	奖励
Rookie	菜鸟	菜鸟
Save Slot	保存插槽	保存插槽
Score	得分了	得分了
scout_Range	[XXX]Range	[XXX]Range
Search_PlayersFound	找到$num球员	找到$num球员
Season	季节	季节
Season Review	季节回顾	季节回顾
Season Stats	季节统计	季节统计
seconds	[XXX]seconds	[XXX]seconds
Select a nation	选择一个国家	选择一个国家
Select A Player	选择一个球员	选择一个球员
Select Player	选择播放器	选择播放器
Select Sponsor	选择赞助商	选择赞助商
select_View	视图	视图
Set up your nationality	设置您的国籍	设置您的国籍
Set up your player profile	设置球员资料	设置球员资料
settings_ChangeLanguage	改变语言	改变语言
settings_Language	语言	语言
		
Shop	商店	商店
shop_BestValue	最佳价值!	最佳价值!
shop_ChangeBall	[XXX]Change	[XXX]Change
shop_CustomerReview	免费bux ! |发表评论	免费bux ! |发表评论
shop_CustomerReviewShort	免费bux !	免费bux !
shop_Free	自由	自由
shop_MostPopular	最受欢迎!	最受欢迎!
shop_Select	选择	选择
shop_SpecialOffer	特别优惠!	特别优惠!
shop_Unlock	开锁	开锁
short_AverageRating	平均评分	平均评分
short_CareerAppearances	职业应用	职业应用
short_PreferredPosition	偏好位置	偏好位置
short_Statistics	统计资料	统计资料
short_SubstitutesRemaining	剩余剩余	剩余剩余
short_Troublemaker	[XXX]Trouble	[XXX]Trouble
Show Amounts	[XXX]Show Amounts	[XXX]Show Amounts
side_AnySide	任何一侧	任何一侧
side_Centre	中央	中央
side_Left	剩下	剩下
side_Right	对	对
Skill	技能	技能
Skill Points	技能点	技能点
skill_Potential	潜在	潜在
skill_Rating	评分	评分
Skills	技能专长	技能专长
skilltype_AddSide	添加面	添加面
skilltype_Agility	敏捷	敏捷
skilltype_Dribbling	盘带	盘带
skilltype_Handling	处理方式	处理方式
skilltype_Pace	步伐	步伐
skilltype_Passing	通过	通过
skilltype_Reflexes	反射	反射
skilltype_Shooting	射击	射击
skilltype_Strength	强度	强度
skilltype_Tackling	处理	处理
skilltype_Technique	技术	技术
Skin	[XXX]Skin	[XXX]Skin
sla_AttackingMid	调频	调频
sla_AttackingMidfielder	调频	调频
sla_Away	一种	一种
sla_awaygoals	一种	一种
sla_AwayTeam	一种	一种
sla_Centre	C	C
sla_Defender	d	d
sla_DefensiveMid	DM	DM
sla_DefensiveMidfielder	[XXX]DM	[XXX]DM
sla_Drawn	d	d
sla_extratime	Ë	Ë
sla_Forward	F	F
sla_Goalkeeper	GK	GK
sla_GoalsAgainst	一种	一种
sla_GoalsFor	F	F
sla_Home	H	H
sla_HomeTeam	H	H
sla_Hour	H	H
sla_hour_LC	H	H
sla_Left	大号	大号
sla_Leg	大号	大号
sla_Lost	大号	大号
sla_MatchesDrawn	d	d
sla_MatchesLost	大号	大号
sla_MatchesWon	W	W
sla_Midfielder	中号	中号
sla_Minute	中号	中号
sla_minute_LC	米	米
sla_penalty	p	p
sla_Played	P	P
sla_RedCards	[R	[R
sla_Reserve	RES	RES
sla_Right	[R	[R
sla_Substitute	小号	小号
sla_tournament_Final	F	F
sla_versus	在	在
sla_videoReplay	[R	[R
sla_Won	W	W
sla_YellowCards	和	和
Slots	插槽	插槽
Social	社会的	社会的
social_NewMessages	新讯息	新讯息
Sound FX	声音效果	声音效果
South	南	南
Sponsor Name	赞助商名称	赞助商名称
Sponsor Relationship	赞助商关系	赞助商关系
Sponsors	赞助商	赞助商
Sponsors_0	球衣赞助商	球衣赞助商
Sponsors_1	袖子赞助商	袖子赞助商
Sponsors_2	积赞助商	积赞助商
Sponsor_Alert_Shirt	您没有签订球衣赞助商合同	您没有签订球衣赞助商合同
Sponsor_Alert_Sleeves	您没有签订赞助商合同	您没有签订赞助商合同
Sponsor_Alert_Hoardings	您没有签订ho积赞助商合同	您没有签订ho积赞助商合同
Sponsor_Alert_Unlock1	购买2级俱乐部商店以解锁此短期赞助位	购买2级俱乐部商店以解锁此短期赞助位
Sponsor_Alert_Unlock2	购买Club Store 4级商店以解锁此短期赞助位	购买Club Store 4级商店以解锁此短期赞助位
Sponsorship	赞助商	赞助商
SponsorType_0	衬衫	衬衫
SponsorType_1	袖子	袖子
SponsorType_2	积	积
Squad	队	队
Squad Energy	小队能源	小队能源
Squad Fitness	小队健身	小队健身
Squad Happiness	小队幸福	小队幸福
Squad Morale	士气小队	士气小队
Squad Potential	潜势	潜势
Squad Rating	班级等级	班级等级
Squad Skill	小队技能	小队技能
Squad Value	小队价值	小队价值
Stadium Capacity	球场容量	球场容量
stadium_Attendance	出勤率	出勤率
stadium_Capacity	容量	容量
stadium_CurrentCapacity	当前容量	当前容量
stadium_LastAttendance	上次出席	上次出席
stadium_NewCapacity	新产能	新产能
stadium_Seats	座位数	座位数
Staff	员工	员工
staff_Assistant	助理	助理
staff_AssistantCoach	助理教练	助理教练
staff_Coach	教练	教练
staff_Coaches	教练员	教练员
staff_Fire	火	火
staff_FitnessCoach	健身教练	健身教练
staff_Hire	聘请	聘请
staff_HireCoach	雇用|教练	雇用|教练
staff_HirePhysio	雇用|生理	雇用|生理
staff_HireScout	雇用|童军	雇用|童军
staff_Manager	经理	经理
staff_Meeting	会议	会议
staff_Physio	生理学	生理学
staff_Player	播放器	播放器
staff_Players	球员们	球员们
staff_Rest	休息	休息
staff_Scout	球探	球探
staff_ViewProfile	视图	视图
staff_Wage	工资	工资
staff_YouthCoach	青年教练	青年教练
Staff Happiness	员工幸福感	员工幸福感
stat_Assists	助攻	助攻
stat_AssistsPG	每场助攻	每场助攻
stat_Chances	机会	机会
stat_Corners	角落	角落
stat_FreeKicks	任意球	任意球
stat_Goals	目标	目标
stat_GoalsPG	每局进球	每局进球
stat_Injured	受伤了	受伤了
stat_Medals	奖牌	奖牌
stat_Passes	通行证	通行证
stat_PassesPG	每局传球数	每局传球数
stat_Rating	评分	评分
stat_RedCards	红牌	红牌
stat_Tackles	抢断	抢断
stat_YellowCards	黄牌	黄牌
Stats	统计资料	统计资料
stats_AverageAttendance	平均出勤率	平均出勤率
stats_BiggestLoss	最大的损失	最大的损失
stats_BiggestWin	最大的胜利	最大的胜利
stats_Drawn	画	画
stats_Lost	丢失	丢失
stats_MostAssists	最助攻	最助攻
stats_MostReds	多数红牌	多数红牌
